Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
Gm#,September,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
135,"Friday, Sep 1",boxscore,BAL,,TOR,W-wo,1,0,13,69-66,3,8,Yacabonis,Loup,,4:27,N,"16,627",+
136,"Saturday, Sep 2",boxscore,BAL,,TOR,L,2,7,,69-67,3,8,Dermody,Miley,,3:02,N,"14,815",-
137,"Sunday, Sep 3",boxscore,BAL,,TOR,W-wo,5,4,12,70-67,3,7,Yacabonis,Barnes,,3:40,D,"27,231",+
138,"Monday, Sep 4",boxscore,BAL,,NYY,L,4,7,,70-68,3,7,Green,Bundy,,3:25,D,"37,622",-
139,"Tuesday, Sep 5",boxscore,BAL,,NYY,W-wo,7,6,,71-68,3,7,Britton,Betances,,3:34,N,"14,377",+
140,"Thursday, Sep 7",boxscore,BAL,,NYY,L,1,9,,71-69,3,8,Gray,Gausman,,3:19,D,"14,946",-
141,"Friday, Sep 8",boxscore,BAL,@,CLE,L,0,5,,71-70,3,9,Clevinger,Miley,,2:41,N,"30,090",--
142,"Saturday, Sep 9",boxscore,BAL,@,CLE,L,2,4,,71-71,3,10,Tomlin,Ynoa,Allen,2:52,D,"30,459",---
143,"Sunday, Sep 10",boxscore,BAL,@,CLE,L,2,3,,71-72,3,10,Bauer,Hellickson,Allen,2:58,N,"21,259",----
144,"Monday, Sep 11",boxscore,BAL,@,TOR,L,3,4,,71-73,3,10.5,Estrada,Jimenez,Leone,2:44,N,"28,401",-----
145,"Tuesday, Sep 12",boxscore,BAL,@,TOR,L-wo,2,3,,71-74,4,11.5,Mayza,Britton,,2:40,N,"29,055",------
146,"Wednesday, Sep 13",boxscore,BAL,@,TOR,W,2,1,,72-74,3,10.5,Gausman,Stroman,Britton,2:40,N,"31,714",+
147,"Thursday, Sep 14",boxscore,BAL,@,NYY,L,5,13,,72-75,3,11.5,Tanaka,Miley,,3:14,N,"37,128",-
148,"Friday, Sep 15",boxscore,BAL,@,NYY,L,2,8,,72-76,3,12.5,Severino,Ynoa,,2:38,N,"40,460",--
149,"Saturday, Sep 16",boxscore,BAL,@,NYY,L,3,9,,72-77,3,13.5,Montgomery,Hellickson,,3:37,D,"40,114",---
150,"Sunday, Sep 17",boxscore,BAL,@,NYY,W,6,4,,73-77,3,12.5,Jimenez,Gray,Britton,3:15,D,"38,189",+
151,"Monday, Sep 18",boxscore,BAL,,BOS,L,8,10,11,73-78,4,13.5,Barnes,Castro,Smith,4:24,N,"16,716",-
152,"Tuesday, Sep 19",boxscore,BAL,,BOS,L,0,1,11,73-79,4,14.5,Kelly,Brach,Barnes,3:27,N,"21,449",--
153,"Wednesday, Sep 20",boxscore,BAL,,BOS,L,0,9,,73-80,4,15.5,Sale,Miley,,3:11,N,"16,906",---
154,"Thursday, Sep 21",boxscore,BAL,,TBR,W,3,1,,74-80,4,15,Ynoa,Andriese,Brach,2:28,N,"14,967",+
155,"Friday, Sep 22",boxscore,BAL,,TBR,L,3,8,,74-81,4,16,Cobb,Jimenez,,3:07,N,"28,835",-
156,"Saturday, Sep 23",boxscore,BAL,,TBR,L,6,9,,74-82,4,17,Odorizzi,Hellickson,Colome,3:34,N,"42,802",--
157,"Sunday, Sep 24",boxscore,BAL,,TBR,W,9,4,,75-82,4,17,Givens,Archer,,3:10,D,"23,424",+
158,"Tuesday, Sep 26",preview,BAL,@,PIT,7:05 PM,,,"Game Preview, Matchups, and Tickets",,,,,,,,,,
159,"Wednesday, Sep 27",preview,BAL,@,PIT,7:05 PM,,,"Game Preview, Matchups, and Tickets",,,,,,,,,,
160,"Friday, Sep 29",preview,BAL,@,TBR,7:10 PM,,,"Game Preview, Matchups, and Tickets",,,,,,,,,,
161,"Saturday, Sep 30",preview,BAL,@,TBR,6:10 PM,,,"Game Preview, Matchups, and Tickets",,,,,,,,,,
162,"Sunday, Oct 1",preview,BAL,@,TBR,3:10 PM,,,"Game Preview, Matchups, and Tickets",,,,,,,,,,
Gm#,Date,,Tm,,Opp,,,,,,,,,,,,,,D/N
